                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6244,                 1.1973,                 1.4275,                 0.8228,                0.62222,                0.66334,                0.41133,                 1.5058,                 1.6772,                 1.8185,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.6294,                 1.2436,                  1.522,                0.82938,                0.63704,                0.68288,                 0.4362,                 1.4901,                 1.5882,                  1.832,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5985,                 1.2085,                 1.4772,                0.77004,                0.62963,                0.66425,                0.41195,                 1.6132,                 1.6592,                 1.9322,               0.000614,               0.000614,               0.000614
                     37,                  1.584,                 1.1403,                 1.4442,                0.81706,                0.63704,                0.68866,                 0.4227,                 1.4949,                 1.5734,                 1.8429,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.5049,                 1.1044,                 1.3706,                0.85824,                0.62785,                0.68465,                0.43807,                 1.4699,                 1.5567,                  1.833,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.5634,                 1.0907,                 1.4364,                0.78465,                0.65926,                0.69152,                0.42981,                 1.5329,                 1.5678,                 1.8527,              0.0004952,              0.0004952,              0.0004952
                     40,                  1.525,                 1.1262,                 1.4192,                0.89985,                0.61481,                0.69527,                0.45595,                 1.4334,                 1.4451,                 1.7661,              0.0004556,              0.0004556,              0.0004556
                     41,                  1.483,                 1.0199,                 1.4244,                0.81017,                    0.6,                0.64724,                0.39978,                 1.4502,                 1.5661,                 1.7911,               0.000416,               0.000416,               0.000416
                     42,                  1.509,                  1.049,                  1.434,                0.79759,                0.63704,                0.68926,                0.44665,                 1.4436,                 1.4604,                 1.7805,              0.0003764,              0.0003764,              0.0003764
                     43,                  1.512,                 1.0736,                 1.4555,                0.84175,                 0.6304,                0.69056,                0.44682,                 1.4613,                 1.4842,                 1.7929,              0.0003368,              0.0003368,              0.0003368
                     44,                  1.444,                  1.012,                  1.393,                0.85078,                0.61481,                0.69175,                 0.4447,                   1.45,                 1.5047,                 1.7812,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.4508,                0.91908,                  1.398,                0.83174,                0.62249,                 0.6947,                0.44194,                 1.4809,                 1.4849,                 1.8028,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.4538,                0.99334,                 1.4115,                0.83257,                0.62222,                0.70179,                0.44633,                 1.4667,                 1.4127,                 1.7875,               0.000218,               0.000218,               0.000218
                     47,                 1.4663,                0.97067,                 1.3864,                 0.9039,                0.59259,                0.70576,                0.46223,                 1.4408,                 1.4108,                 1.7842,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.4216,                0.93155,                 1.3903,                0.89919,                0.59466,                0.70997,                0.46006,                 1.4555,                 1.4101,                 1.7935,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.3959,                 0.9709,                 1.3724,                0.78401,                0.66667,                0.71093,                0.45049,                 1.4687,                 1.4043,                 1.8107,               9.92e-05,               9.92e-05,               9.92e-05
